Job_position,Company,Location,requirements,rating,experience,posting_frequency,avg_yearly_sal,income_cat,net_experience,education_level,bachelor,masters,na,secondary,job_title,jr,na,senior,popular_profession,data scientist,deep learning,machine learning,na,software developer,software engineer,State, Andhra Pradesh, Bengaluru, Bihar, Chandigarh, Chennai, Chhattisgarh, Delhi, Goa, Gujarat, Haryana, Hyderabad, Jammu and Kashmir, Jharkhand, Karnataka, Kerala, Madhya Pradesh, Maharashtra, Mumbai, Navi Mumbai, Orissa, Puducherry, Pune, Punjab, Rajasthan, Tamil Nadu, Telangana, Uttar Pradesh, Uttarakhand, West Bengal,Andhra Pradesh,Delhi,Goa,Gujarat,India,Jharkhand,Karnataka,Kerala,Maharashtra,Meghalaya,Punjab,Rajasthan,Remote,Tamil Nadu,job_openings,job_descr_len,ai,python,stack,java,c,c++,cloud,asp,net,mvc,mobile,testing,sql,css,server,database,html,ui,system,php,flutter,angular,systems,ios,app,javascript,nodejs,rest,api,js,react,jquery,open,security,azure,aws,structures,cleaning,algorithms,architecture,source,information,bootstrap,mysql,debugging,restful,apis,linux
na,Gather Network,"Urban Estate Gurgaon, Haryana",blockchain,0.0,na,1.0,240000.0,3,0,na,0,0,1,0,jr,1,0,0,na,0,0,0,1,0,0, Haryana,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
na,Agile Placement,"Pune, Maharashtra",java spark python r,0.0,Total work: 6 years,1.0,950000.0,4,6,na,0,0,1,0,na,0,1,0,na,0,0,0,1,0,0, Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,158,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
na,Client of PlaceElements HR,"Thiruvananthapuram, Kerala",,0.0,Python: Algorithms: Statistics: 1 yearData Scientist: 2 yearsBachelor's,1.0,750000.0,4,2,na,0,0,1,0,na,0,1,0,data scientist,1,0,0,0,0,0, Kerala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
na,Siemens Technology and Services Private Limited,"Pune, Maharashtra",c++,4.0,na,2.0,0.0,-1,-99,na,0,0,1,0,na,0,1,0,machine learning,0,0,1,0,0,0, Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,149,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
na,Teqlinx Software Solutions LLC,"Bengaluru, Karnataka",structures,0.0,na,1.0,3000000.0,6,-99,na,0,0,1,0,na,0,1,0,na,0,0,0,1,0,0, Karnataka,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
java,www.yansisofsol.com,"Hyderabad, Telangana",cleaning,0.0,na,1.0,342000.0,3,0,na,0,0,1,0,na,0,1,0,na,0,0,0,1,0,0, Telangana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,160,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
na,VN SoftSol,"Noida, Uttar Pradesh",,0.0,na,1.0,0.0,-1,-99,na,0,0,1,0,na,0,1,0,na,0,0,0,1,0,0, Uttar Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
na,Dürr Somac GmbH,"Noida, Uttar Pradesh",,0.0,na,1.0,0.0,-1,-99,na,0,0,1,0,na,0,1,0,na,0,0,0,1,0,0, Uttar Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
na,Acies Global,Remote,,0.0,na,1.0,0.0,-1,3,na,0,0,1,0,na,0,1,0,na,0,0,0,1,0,0,Remote,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
na,"Krypt, Inc.","Bengaluru, Karnataka",,0.0,na,1.0,0.0,-1,-99,na,0,0,1,0,na,0,1,0,machine learning,0,0,1,0,0,0, Karnataka,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,157,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
